DATAFLOW,FREQ,INDICATOR,REF_AREA,UNIT,TIME_PERIOD,OBS_VALUE
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Australia,Gigagrams (Gg) CO2 equivalent,1990,123253.759350076
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Australia,Gigagrams (Gg) CO2 equivalent,1991,122319.762698416
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Australia,Gigagrams (Gg) CO2 equivalent,1992,121279.947561535
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Australia,Gigagrams (Gg) CO2 equivalent,1993,118144.438048027
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Australia,Gigagrams (Gg) CO2 equivalent,1994,115294.730439371
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Australia,Gigagrams (Gg) CO2 equivalent,1995,113861.097842933
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Australia,Gigagrams (Gg) CO2 equivalent,1996,113191.958379177
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Australia,Gigagrams (Gg) CO2 equivalent,1997,116002.133779761
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Australia,Gigagrams (Gg) CO2 equivalent,1998,115178.548970905
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Australia,Gigagrams (Gg) CO2 equivalent,1999,112018.679241671
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Australia,Gigagrams (Gg) CO2 equivalent,2000,115904.569162964
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Australia,Gigagrams (Gg) CO2 equivalent,2001,114771.84388915
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Australia,Gigagrams (Gg) CO2 equivalent,2002,113036.425314102
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Australia,Gigagrams (Gg) CO2 equivalent,2003,107155.082170573
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Australia,Gigagrams (Gg) CO2 equivalent,2004,108491.738179822
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Australia,Gigagrams (Gg) CO2 equivalent,2005,110605.68721883
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Australia,Gigagrams (Gg) CO2 equivalent,2006,109623.128938195
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Australia,Gigagrams (Gg) CO2 equivalent,2007,109798.052037951
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Australia,Gigagrams (Gg) CO2 equivalent,2008,107815.096628192
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Australia,Gigagrams (Gg) CO2 equivalent,2009,106670.719190615
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Australia,Gigagrams (Gg) CO2 equivalent,2010,104167.198726005
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Australia,Gigagrams (Gg) CO2 equivalent,2011,105714.333368474
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Australia,Gigagrams (Gg) CO2 equivalent,2012,105789.978930074
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Australia,Gigagrams (Gg) CO2 equivalent,2013,105411.515470065
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Australia,Gigagrams (Gg) CO2 equivalent,2014,102666.225789241
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Australia,Gigagrams (Gg) CO2 equivalent,2015,103029.599303094
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Australia,Gigagrams (Gg) CO2 equivalent,2016,102675.207332473
